"","x"
"282","ARHGAP36"
"283","CACNG7"
"284","LINC01976"
"285","ENSG00000183566"
"286","LINC02388"
"287","CFAP99"
"288","ASCL1"
"289","FABP6"
"290","CALHM3"
"291","PLPPR1"
"292","TLCD3B"
"293","POU6F2-AS1"
"294","ENSG00000267073"
"295","MAGEA3"
"296","PAEP"
"297","SALL3"
"298","APOBEC1"
"299","ENSG00000233293"
"300","PLAAT1"
"301","CFAP107"
"302","ENSG00000249896"
"303","TPSG1"
"304","PCDHA5"
"305","MRLN"
"306","PON1"
"307","TSPEAR"
"308","BRS3"
"309","OTP"
"310","KRT40"
"311","CASKIN1"
"312","SOX1"
"313","AMYP1"
"314","CREB3L3"
"315","SLC9A4"
"316","MAPK8IP3-AS1"
"317","LGI1"
"318","ABCA12"
"319","HAO1"
"320","ARHGEF26-AS1"
"321","LINC01833"
"322","SIM2"
"323","LOC124904553"
"324","AMER2"
"325","IVL"
"326","FAR2P3"
"327","LINC02616"
"328","CFAP77"
"329","SERPINA11"
"330","CCKAR"
"331","PAX6-AS1"
"332","MGAT4C"
"333","GHRHR"
"334","SIX3"
"335","SLCO1B3"
"336","CNGA3"
"337","ENSG00000265542"
"338","ENSG00000189212"
"339","RHCG"
"340","ARG1"
"341","ARMC3"
"342","RIIAD1"
"343","ENSG00000286051"
"344","LRRC53"
"345","DACH2"
"346","CRYGD"
"347","RSPO4"
"348","DGKB"
"349","PHF21B"
"350","LDLRAD1"
"351","TH"
"352","HOXC10"
"353","FIBCD1"
"354","NHLH2"
"355","KLHL41"
"356","APOA4"
"357","STMN4"
"358","SLC6A18"
"359","ENSG00000224417"
"360","PNMT"
"361","CDH16"
"362","CA10"
"363","RTBDN"
"364","KCNC1"
"365","RMST"
"366","ZFR2"
"367","PPP1R14D"
"368","ENSG00000280229"
"369","FSTL5"
"370","DRC1"
"371","AKR1C4"
"372","PSAPL1"
"373","SLC32A1"
"374","SOSTDC1"
"375","SI"
"376","TUSC8"
"377","LRRTM1"
"378","NCAN"
"379","EMX1"
"380","ENSG00000250385"
"381","GLYATL3"
"382","BEND2"
"383","ENSG00000277837"
"384","PLPPR3"
"385","CFAP61"
"386","ENSG00000287627"
"387","GBX1"
"388","ENSG00000280002"
"389","A2ML1"
"390","CRH"
"391","ENSG00000267594"
"392","NTSR1"
"393","UNC5D"
"394","F7"
"395","GPR142"
"396","ASB4"
"397","CAPSL"
"398","DNAI1"
"399","CNTN5"
"400","CFAP65"
"401","SYNGR4"
"402","ELAVL3"
"403","SNCB"
"404","GHRH"
"405","ALDH3A1"
"406","ENSG00000176349"
"407","MYT1L"
"408","FOXL3-OT1"
"409","PNMA8C"
"410","OTOP3"
"411","LINC01091"
"412","OTOGL"
"413","GPC5-AS1"
"414","GABRG2"
"415","LYPD2"
"416","COL2A1"
"417","IRX1"
"418","SYT14"
"419","TMEM196"
"420","CLRN3"
"421","ALPG"
"422","GDAP1L1"
"423","TEKT1"
"424","SPMIP6"
"425","NAT16"
"426","GRIA1"
"427","RBFOX3"
"428","CGB3"
"429","PRODH2"
"430","ENSG00000233492"
"431","SSTR5-AS1"
"432","CERS1"
"433","HMX3"
"434","EPHA5"
"435","AVPR1B"
"436","VWDE"
"437","APOC3"
"438","KRT4"
"439","ADGRA1"
"440","AADAC"
"441","PCDH10"
"442","ENSG00000166104"
"443","SULT4A1"
"444","ENSG00000237767"
"445","C22orf42"
"446","FAM131C"
"447","SBK2"
"448","SPAG6"
"449","ASPDH"
"450","NR0B1"
"451","MAST1"
"452","DISP3"
"453","LGI3"
"454","KCNQ2"
"455","ENSG00000284747"
"456","DSCAM"
"457","UGT2B4"
"458","ITLN1"
"459","ALK"
"460","CHRNB2"
"461","CCDC187"
"462","LCN1"
"463","TMEM132B"
"464","KRT13"
"465","TCEAL5"
"466","SERTM1"
"467","STXBP5L"
"468","FABP1"
"469","GPR179"
"470","DNASE2B"
"471","FBLL1"
"472","SPOCK3"
"473","IL13RA2"
"474","MAPK4"
"475","DRD2"
"476","PCP4"
"477","DCX"
"478","CCKBR"
"479","PRRT1B"
"480","NSG2"
"481","PCDH8"
"482","GPR119"
"483","LOC130494219"
"484","ISL1-DT"
"485","B3GAT1-DT"
"486","ENSG00000237423"
"487","CCDC92B"
"488","MAB21L4"
"489","UGT2B11"
"490","SHISA7"
"491","ENSG00000133519"
"492","SPINK4"
"493","TMEFF2"
"494","CLCA1"
"495","PART1"
"496","JPH3"
"497","MYT1"
"498","KCNB1"
"499","TM4SF20"
"500","TTLL6"
"501","SPRR1B"
"502","PRPH"
"503","BMP5"
"504","TUNAR"
"505","SLC6A4"
"506","NECAB2"
"507","CABP7"
"508","KCNMB2"
"509","GCK"
"510","SERPIND1"
"511","RDH12"
"512","SLITRK6"
"513","TMEM145"
"514","TMEM151A"
"515","GRIA2"
"516","ENSG00000186493"
"517","GABRG3"
"518","SLC9A3"
"519","NPW"
"520","ADGRV1"
"521","LRRC10B"
"522","XKR7"
"523","ENSG00000284745"
"524","FGFBP1"
"525","MYO1A"
"526","MUC2"
"527","CDH12"
"528","GRM4"
"529","SPDEF"
"530","FMN2"
"531","SPRR3"
"532","PLP1"
"533","NRXN1"
"534","ATCAY"
"535","CBLN1"
"536","DRAIC"
"537","HS6ST3"
"538","SKAP1-AS2"
"539","SLC12A5"
"540","LY6D"
"541","ANKS4B"
"542","SLC35F3"
"543","SCGB2A1"
"544","ENSG00000232487"
"545","CLGN"
"546","ACTL6B"
"547","NOL4"
"548","SIX2"
"549","UNC79"
"550","MARCHF4"
"551","MTND1P23"
"552","CNIH2"
"553","WNK4"
"554","CDHR3"
"555","KCNJ3"
"556","ENSG00000251095"
"557","AMER3"
"558","FOXJ1"
"559","CHD5"
"560","ATP8A2"
"561","KCNJ6"
"562","DNER"
"563","MEP1B"
"564","CARTPT"
"565","KLK6"
"566","UBE2QL1"
"567","MSMB"
"568","FSTL4"
"569","TM4SF5"
"570","AFAP1-AS1"
"571","SERPINA10"
"572","LRRC4B"
"573","LHX5"
"574","CXXC4"
"575","CGB5"
"576","FRRS1L"
"577","TRPM5"
"578","TMEM132D"
"579","FBXL16"
"580","SSTR3"
"581","DHRS2"
"582","MPPED1"
"583","RFX6"
"584","IQSEC3"
"585","CACNA1B"
"586","VAT1L"
"587","ENSG00000278041"
"588","TMEM59L"
"589","ADH6"
"590","KCNA5"
"591","SLC6A17"
"592","ISL1"
"593","RIMS2"
"594","ABTB3"
"595","SLC7A14"
"596","SPTBN4"
"597","C1orf127"
"598","C6orf15"
"599","CYP4F3"
"600","TAGLN3"
"601","SSTR1"
"602","CFC1"
"603","PAX6"
"604","LY6H"
"605","CDK5R2"
"606","TCEAL2"
"607","LHFPL4"
"608","PTPRT"
"609","DUSP26"
"610","HMGCS2"
"611","RAB26"
"612","SVOP"
"613","REEP2"
"614","INA"
"615","ENSG00000257935"
"616","MAPT"
"617","ONECUT3"
"618","PPP2R2C"
"619","ST18"
"620","PRSS57"
"621","VSTM2A"
"622","EFNB3"
"623","F10"
"624","ADCY1"
"625","NEUROD1"
"626","UNC80"
"627","ENSG00000186369"
"628","MAPK8IP2"
"629","DPP6"
"630","KL"
"631","RIMBP2"
"632","SLC8A2"
"633","ELANE"
"634","GUCY2C"
"635","PRLR"
"636","BPIFA2"
"637","NKX2-2"
"638","TMPRSS6"
"639","GJD2"
"640","SLC6A19"
"641","UNC13A"
"642","IRX2"
"643","ERN2"
"644","MIR7-3HG"
"645","GNG4"
"646","HEPACAM2"
"647","AQP5"
"648","HAP1"
"649","FEV"
"650","KCNH2"
"651","IGSF1"
"652","TMEM63C"
"653","INSM1"
"654","FTCD"
"655","KCNH6"
"656","S100A2"
"657","ARX"
"658","BPIFB2"
"659","CAMK2B"
"660","SEZ6"
"661","MS4A8"
"662","RUNDC3A"
"663","GAD2"
"664","MUC16"
"665","CACNA2D2"
"666","AMY2A"
"667","SYT5"
"668","KCNK16"
"669","SMIM32"
"670","FAM83A"
"671","PSCA"
"672","NKX6-3"
"673","SLC38A4"
"674","SYT4"
"675","UCN3"
"676","CELF3"
"677","SSTR2"
"678","APOH"
"679","CALY"
"680","TMEM179"
"681","CACNA1A"
"682","SCGB3A1"
"683","BAIAP3"
"684","VWA5B2"
"685","VGF"
"686","SYP"
"687","SEZ6L"
"688","PAPPA2"
"689","WNT4"
"690","NTS"
"691","CRYBA2"
"692","DDC"
"693","MUC13"
"694","SLC22A17"
"695","KRT6A"
"696","C1QL1"
"697","DMBT1"
"698","SCGN"
