"","x"
"318","CCL14"
"319","APOBEC3A"
"320","PNOC"
"321","ENSG00000273837"
"322","KLRF1"
"323","ENSG00000280135"
"324","CLNK"
"325","ENSG00000240219"
"326","SCN11A"
"327","NFIA-AS2"
"328","FGFBP2"
"329","COL19A1"
"330","LINC00954"
"331","TRGC1"
"332","ENSG00000205056"
"333","LTA"
"334","CALHM6"
"335","HTRA4"
"336","ENSG00000254416"
"337","GPR55"
"338","PHOSPHO1"
"339","CD5L"
"340","SIGLEC11"
"341","ENSG00000229754"
"342","ENSG00000272789"
"343","LINC02422"
"344","LINC00528"
"345","SLFN12L"
"346","ENSG00000260135"
"347","MTCYBP18"
"348","BEND4"
"349","ENSG00000281383"
"350","TMEM52B"
"351","CRIPTO"
"352","SNORA73B"
"353","ENSG00000279277"
"354","CD160"
"355","CFP"
"356","CLDN6"
"357","GPR182"
"358","SH2D1B"
"359","ENSG00000286646"
"360","ENSG00000211829"
"361","ENSG00000268758"
"362","LOC124903372"
"363","KRT79"
"364","NLRP12"
"365","PPBP"
"366","LGALS12"
"367","PNLDC1"
"368","ADGRE3"
"369","ENSG00000287265"
"370","TRIM50"
"371","ENSG00000251301"
"372","SLC22A31"
"373","RUFY4"
"374","AMHR2"
"375","ENSG00000258810"
"376","LY86-AS1"
"377","ENSG00000272282"
"378","SNORD17"
"379","CYLD-AS1"
"380","ENSG00000267731"
"381","IL17REL"
"382","LINC01537"
"383","TRBV7-2"
"384","TIFAB"
"385","TRBV28"
"386","TREML1"
"387","ANGPTL6"
"388","ENSG00000283265"
"389","IGHV5-78"
"390","LEFTY2"
"391","SLC7A10"
"392","ENSG00000257275"
"393","ENSG00000233143"
"394","EEF1A1P24"
"395","CXCR5"
"396","ENSG00000223511"
"397","KLRK1"
"398","OIT3"
"399","LOC100887080"
"400","ENSG00000225963"
"401","LINC01694"
"402","ADRA1A"
"403","LINC00173"
"404","ENSG00000267074"
"405","ENSG00000276842"
"406","ENSG00000228146"
"407","ANKRD55"
"408","FAM178B"
"409","TTC24"
"410","LOC400627"
"411","ENSG00000248996"
"412","THRSP"
"413","ENSG00000268416"
"414","PADI4"
"415","NPY5R"
"416","UICLM"
"417","ENSG00000274272"
"418","LINC00892"
"419","LINC01684"
"420","LINC02576"
"421","CRABP1"
"422","IRX6"
"423","LINC00402"
"424","H3-5"
"425","ENSG00000286004"
"426","KRT75"
"427","C12orf42"
"428","SLC5A10"
"429","NME8"
"430","MYBPC3"
"431","ENSG00000256069"
"432","LOC124902108"
"433","SPATC1"
"434","DNAH8"
"435","PDGFRL2P"
"436","SLC12A3"
"437","NKX2-5"
"438","KCNE1"
"439","PZP"
"440","ENSG00000241666"
"441","ENSG00000265096"
"442","ENSG00000262312"
"443","ENSG00000269553"
"444","PGLYRP4"
"445","ENSG00000248115"
"446","ENSG00000174680"
"447","LOC100420587"
"448","TARID"
"449","ENSG00000198106"
"450","ALAS2"
"451","KRT72"
"452","LIPF"
"453","PTCRA"
"454","CAMP"
"455","RTP5"
"456","ENSG00000226945"
"457","SERPINA9"
"458","ECE1-AS1"
"459","ENSG00000262488"
"460","ENSG00000251320"
"461","FRMD1"
"462","ENSG00000220412"
"463","ENSG00000261218"
"464","LINC01010"
"465","FTH1P22"
"466","HBA1"
"467","ENSG00000226942"
"468","LCAL1"
"469","ZNF80"
"470","CELF2-AS1"
"471","ENSG00000248290"
"472","NCR1"
"473","ENSG00000251623"
"474","DPEP3"
"475","ENSG00000272211"
"476","AICDA"
"477","SHISA8"
"478","TM4SF19"
"479","ATP1A4"
"480","ENSG00000279149"
"481","LIPN"
"482","ENSG00000280435"
"483","MIR3147HG"
"484","CCR6"
"485","RN7SL186P"
"486","ENSG00000274767"
"487","CPN2"
"488","TRBV18"
"489","ENSG00000256128"
"490","LOC112267968"
"491","OR52N4"
"492","ENSG00000226822"
"493","BFSP2"
"494","RPL7AP10"
"495","UNC45B"
"496","ENSG00000267432"
"497","ENSG00000197549"
"498","ENSG00000225885"
"499","LOC102723878"
"500","ENSG00000242797"
"501","ENSG00000241743"
"502","ENSG00000261222"
"503","SCARNA5"
"504","LINC02154"
"505","ENSG00000260719"
"506","TRBV11-2"
"507","ENSG00000273203"
"508","ENSG00000286196"
"509","SLFN14"
"510","MKRN3"
"511","FADS6"
"512","LINC01894"
"513","ENSG00000256427"
"514","PF4V1"
"515","PTCSC1"
"516","GGTLC1"
"517","C8orf34-AS1"
"518","ENSG00000224875"
"519","IQSEC3-AS2"
"520","LINC00943"
"521","TRBV4-2"
"522","ENSG00000286696"
"523","ENSG00000254750"
"524","ENSG00000269800"
"525","TRBV6-3"
"526","FOLR3"
"527","CCDC26"
"528","TRGV4"
"529","ENSG00000254887"
"530","MDS2"
"531","RPS2P53"
"532","ENSG00000228835"
"533","ENSG00000280011"
"534","ENSG00000248362"
"535","RN7SL3"
"536","MIR4432HG"
"537","LINC00487"
"538","ENSG00000258702"
"539","ENSG00000235111"
"540","ENSG00000240143"
"541","ENSG00000244681"
"542","ADAD2"
"543","ENSG00000228863"
"544","CFHR1"
"545","ENSG00000260953"
"546","ENSG00000233665"
"547","GLYAT"
"548","HCAR3"
"549","HEATR9"
"550","ENSG00000271680"
"551","CD300H"
"552","ENSG00000286805"
"553","ENSG00000250850"
"554","ENSG00000237927"
"555","GRIN2B"
"556","ENSG00000261416"
"557","LGSN"
"558","TRBV10-3"
"559","ENSG00000288253"
"560","OR52K3P"
"561","ENSG00000226571"
"562","ENSG00000258539"
"563","ENSG00000229106"
"564","TRAV5"
"565","ENSG00000284309"
"566","ENSG00000253988"
"567","TRGV3"
"568","RPL7AP64"
"569","HSF5"
"570","CSMD3"
"571","SLC4A1"
"572","FHL1P1"
"573","TRDV1"
"574","RPL32P1"
"575","DPPA4"
"576","IL6-AS1"
"577","VSTM1"
"578","C10orf90"
"579","NLRP4"
"580","ENSG00000261471"
"581","EPO"
"582","ENSG00000225411"
"583","ZBTB20-AS1"
"584","ENSG00000267046"
"585","ENSG00000266389"
"586","LOC105375924"
"587","ENSG00000105501"
"588","LOC100128059"
"589","UGT3A2"
"590","TEX101"
"591","ENSG00000262319"
"592","ENSG00000287097"
"593","ENSG00000230138"
"594","LINC01281"
"595","TRGV8"
"596","HCG22"
"597","ENSG00000196593"
"598","ENSG00000255819"
"599","TRGV5P"
"600","LOC101926964"
"601","ENSG00000281181"
"602","H3C14"
"603","ENSG00000268849"
"604","ASTL"
"605","ENSG00000256720"
"606","SIRPG-AS1"
"607","ENSG00000284825"
"608","ENSG00000251513"
"609","IL27"
"610","ENSG00000234506"
"611","ENSG00000224478"
"612","KIR3DL2"
"613","LINC02324"
"614","NETO1-DT"
"615","ENSG00000257226"
"616","ENSG00000270972"
"617","TRAV1-2"
"618","NR5A1"
"619","LINC02099"
"620","ENSG00000287920"
"621","ENSG00000286507"
"622","TRBV23-1"
"623","CDCA4P1"
"624","TLX1NB"
"625","ENSG00000258760"
"626","OR5AK4P"
"627","ENSG00000244720"
"628","SPATA21"
"629","ENSG00000228318"
"630","LINC02347"
"631","CR1L"
"632","LINC02285"
"633","LINC01645"
"634","ENSG00000286406"
"635","LINCADL"
"636","PIK3CD-AS1"
"637","CLEC1B"
"638","ENSG00000279166"
"639","OR52N2"
"640","SPIC"
"641","PSG5"
"642","ENSG00000214797"
"643","ENSG00000260303"
"644","ENSG00000286831"
"645","ENSG00000228655"
"646","LOC102723692"
"647","ENSG00000224220"
"648","UMODL1-AS1"
"649","ENSG00000229759"
"650","ENSG00000261208"
"651","ENSG00000279825"
"652","ENSG00000254802"
"653","ENSG00000279565"
"654","ENSG00000241490"
"655","ENSG00000285165"
"656","ATP4A"
"657","TRGV5"
"658","ENSG00000279024"
"659","ENSG00000285954"
"660","ENSG00000260510"
"661","ENSG00000257345"
"662","H1-3"
"663","ENSG00000285303"
"664","ENSG00000240535"
"665","ENSG00000253535"
"666","LOC284191"
"667","ENSG00000229961"
"668","LINC01203"
"669","PNMA5"
"670","ENSG00000279884"
"671","ENSG00000255221"
"672","ENSG00000224565"
"673","ENSG00000233261"
"674","LINC01470"
"675","ENSG00000259374"
"676","VN1R85P"
"677","FAM9C"
"678","RN7SL752P"
"679","ENSG00000104970"
"680","ITPKB-IT1"
"681","ENSG00000244620"
"682","ENSG00000271046"
"683","PCDH11X"
"684","ATP4B"
"685","ENSG00000273824"
"686","ENSG00000261606"
"687","KRT36"
"688","PSMA8"
"689","MS4A6E"
"690","LINC00304"
"691","ENSG00000284914"
"692","LRTM1"
"693","ENSG00000274508"
"694","ENSG00000158482"
"695","LINC01539"
"696","ENSG00000274150"
"697","TRAV1-1"
"698","IL21"
"699","ENSG00000266573"
"700","ENSG00000279933"
"701","ENSG00000213075"
"702","ENSG00000256943"
"703","VAV3-AS1"
"704","RFX4"
"705","TRAPPC3L"
"706","ENSG00000263366"
"707","KRT73"
"708","LINC02212"
"709","ENSG00000287812"
"710","ABCA9-AS1"
"711","OR56B2P"
"712","KLRC4"
"713","NPIPA9"
"714","HBD"
"715","KIR3DL1"
"716","ENSG00000234426"
"717","ENSG00000253891"
"718","GLYATL1B"
"719","ENSG00000287216"
"720","ENSG00000261959"
"721","ENSG00000231236"
"722","ENSG00000260186"
"723","KIR2DL1"
"724","ENSG00000286063"
"725","ENSG00000285163"
"726","CEACAM8"
"727","OR5G5P"
"728","ENSG00000260271"
"729","KIR2DL3"
"730","OSTN-AS1"
"731","ENSG00000283766"
"732","KLF1"
"733","GTSF1L"
"734","PSG9"
"735","ENSG00000233334"
"736","IGLC5"
"737","ENSG00000234261"
"738","ANKRD44-IT1"
"739","ENSG00000220267"
"740","EPB42"
"741","ENSG00000288052"
"742","ZPBP2"
"743","ENSG00000255345"
"744","ENSG00000257703"
"745","ANKRD18DP"
"746","LOC643709"
"747","ENSG00000267327"
"748","ENSG00000273442"
"749","ENSG00000254760"
"750","RPL6P22"
"751","RPL11P1"
"752","LOC100128310"
"753","ATOSBP1"
"754","LINC02365"
"755","LOC112268208"
"756","LOC100420096"
"757","GP9"
"758","DEFA3"
"759","ENSG00000275801"
"760","TANAR"
"761","SIRPD"
"762","LINC01447"
"763","ENSG00000228403"
"764","ENSG00000223750"
"765","C4orf54"
"766","ENSG00000233953"
"767","ENSG00000224187"
"768","LOC124902324"
"769","ENSG00000235728"
"770","ENSG00000262151"
"771","ENSG00000285534"
"772","ENSG00000286277"
"773","ENSG00000279846"
"774","BFSP2-AS1"
"775","LINC01800"
"776","ENSG00000242324"
"777","ENSG00000203416"
"778","ENSG00000253519"
"779","ENSG00000256937"
"780","ENSG00000260803"
"781","ENSG00000247699"
"782","ENSG00000267521"
"783","ENSG00000287673"
"784","CENPUP2"
"785","TRGV1"
"786","ENSG00000233614"
"787","NPPB"
"788","ENSG00000221962"
"789","DEFA4"
"790","LINC02227"
"791","LINC02607"
"792","SOX3"
"793","ENSG00000228674"
"794","SCN10A"
"795","ENSG00000233850"
"796","ENSG00000238063"
"797","LINC02316"
"798","ENSG00000286341"
"799","LINC01926"
"800","ENSG00000259094"
"801","ENSG00000236911"
"802","LOC102724104"
"803","RPL9P33"
"804","ENSG00000218713"
"805","ENSG00000249988"
"806","SLC36A3"
"807","NBPF17P"
"808","ENSG00000286780"
"809","LINC02947"
"810","OR56B1"
"811","CLEC4M"
"812","ENSG00000270980"
"813","ENSG00000261864"
"814","BTNL2"
"815","ENSG00000258628"
"816","ENSG00000258425"
"817","LINC02800"
"818","ENSG00000280014"
"819","ENSG00000268581"
"820","ENSG00000231808"
"821","LINC01259"
"822","ENSG00000236054"
"823","LOC105375523"
"824","LOC105374468"
"825","LINC02881"
"826","PSG3"
"827","LINC02138"
"828","ENSG00000254406"
"829","HBM"
"830","ANKRD26P3"
"831","ENSG00000225107"
"832","ENSG00000284703"
"833","ENSG00000253745"
"834","ENSG00000287989"
"835","RFTN1P1"
"836","ENSG00000223542"
"837","PGA3"
"838","RPL7P51"
"839","ZAN"
"840","IGLVI-63"
"841","ENSG00000266946"
"842","LMAN1L"
"843","ENSG00000285454"
"844","ENSG00000226212"
"845","TDRD15"
"846","ENSG00000256609"
"847","LOC101928517"
"848","ENSG00000241721"
"849","PSG8"
"850","ENSG00000283518"
"851","LOC124904478"
"852","CRIPTO3"
"853","ENSG00000240241"
"854","LOC105375130"
"855","ACTG1P21"
"856","ENSG00000229559"
"857","LOC105376478"
"858","LINC01821"
"859","CRX"
"860","RPL34P17"
"861","RN7SL842P"
"862","ENSG00000280360"
"863","ENSG00000231062"
"864","ENSG00000234211"
"865","LOC101927950"
"866","ENSG00000279554"
"867","LINC02852"
"868","MAP4K1-AS1"
"869","OR5G3"
"870","ENSG00000257674"
"871","XKR3"
"872","ENSG00000253823"
"873","NCF4-AS1"
"874","LINC02090"
"875","ENSG00000254325"
"876","OR12D2"
"877","ENSG00000227217"
"878","ENSG00000287554"
"879","OR52V1P"
"880","ENSG00000234567"
"881","ENSG00000253126"
"882","CSTP1"
"883","ENSG00000254799"
"884","OR2L2"
"885","ARLNC1"
"886","ENSG00000284957"
"887","ENSG00000250507"
"888","ENSG00000256987"
"889","ENSG00000279774"
"890","TRIM75"
"891","ENSG00000229255"
"892","DYNAP"
"893","RN7SKP185"
"894","OR5AO1P"
"895","SDAD1-AS1"
"896","IDI2"
"897","H2BC10"
"898","CSAG3"
"899","ENSG00000248498"
"900","ENSG00000264663"
"901","LINC01514"
"902","ADIPOQ-AS1"
"903","LYPD4"
"904","ENSG00000269681"
"905","DMRTC2"
"906","ENSG00000182531"
"907","OR6S1"
"908","ENSG00000200488"
"909","ENSG00000269446"
"910","LINC01837"
"911","ENSG00000287123"
"912","OR5AK2"
"913","OR5AK3P"
"914","OR5AK1P"
"915","LINC02260"
"916","ENSG00000226020"
